ID , SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
Hs, 1, 1738076453532, 0.47595, 3.732, 9.19005, 6.98006, 7.4685, -1.86713
Hs, 2, 1738076453543, 0.41595, 3.67005, 8.53005, 7.19277, 7.11399, -1.2999
Hs, 3, 1738076453548, 0.41595, 3.67005, 8.53005, 3.9706, 6.49161, -1.72532
Hs, 4, 1738076453554, 0.41595, 3.67005, 8.53005, 1.59139, 5.29413, -1.86713
Hs, 5, 1738076453565, 0.22995, 3.73395, 7.914, -4.00999, 1.72532, -1.58351
Hs, 6, 1738076453572, 0.22995, 3.73395, 7.914, -9.04414, -1.48897, -0.95326
Hs, 7, 1738076453583, 0.24405, 3.813, 8.388, -12.68385, -2.61555, -0.323
Hs, 8, 1738076453594, 0.24405, 3.813, 8.388, -14.22797, -1.42595, -0.323
Hs, 9, 1738076453606, 0.44295, 3.76995, 9.39405, -12.33721, 3.34034, -1.09507
Hs, 10, 1738076453617, 0.29895, 3.68895, 9.58305, -9.8871, 4.94749, -1.3708
Hs, 11, 1738076453630, 0.29895, 3.68895, 9.58305, -6.66493, 3.75789, -0.81145
Hs, 12, 1738076453640, 0.297, 3.62895, 9.351, -5.33352, 4.31724, -0.46481
Hs, 13, 1738076453650, 0.297, 3.62895, 9.351, -4.91598, 5.85348, -1.02416
Hs, 14, 1738076453661, 0.42105, 3.64095, 9.12795, -5.19959, 6.90915, -1.51261
Hs, 15, 1738076453674, 0.12705, 3.552, 8.98695, -5.82985, 6.42071, -1.3708
Hs, 16, 1738076453684, 0.12705, 3.552, 8.98695, -6.17649, 5.29413, -1.16597
Hs, 17, 1738076453696, 0.261, 3.54, 9.21405, -6.4601, 5.29413, -0.95326
Hs, 18, 1738076453707, 0.261, 3.54, 9.21405, -6.03468, 5.57774, -1.58351
Hs, 19, 1738076453718, 0.33705, 3.588, 9.231, -5.47533, 4.87659, -2.00106
Hs, 20, 1738076453729, 0.33705, 3.588, 9.231, -5.2705, 3.26944, -2.56041
Hs, 21, 1738076453740, 0.35895, 3.55695, 8.89395, -6.24739, 0.67752, -3.05673
Hs, 22, 1738076453752, 0.21495, 3.51105, 8.84295, -7.43699, -0.23635, -2.98583
Hs, 23, 1738076453762, 0.21495, 3.51105, 8.84295, -9.11504, 0.67752, -2.98583
Hs, 24, 1738076453773, 0.213, 3.43005, 8.793, -11.91967, -1.00053, -3.12763
Hs, 25, 1738076453785, 0.213, 3.43005, 8.793, -13.31411, -1.63078, -2.91492
Hs, 26, 1738076453795, 0.162, 3.456, 9.23805, -13.59772, -0.72479, -2.28467
Hs, 27, 1738076453807, 0.21495, 3.40395, 9.28605, -13.18018, 2.28467, -1.30778
Hs, 28, 1738076453818, 0.21495, 3.40395, 9.28605, -12.47902, 2.42648, -1.72532
Hs, 29, 1738076453830, 0.21, 3.38505, 8.90295, -12.75476, 1.23687, -2.84402
Hs, 30, 1738076453840, 0.21, 3.38505, 8.90295, -14.22797, -0.37027, -2.91492
Hs, 31, 1738076453851, 0.06705, 3.375, 8.937, -16.81989, -1.9144, -2.21377
Hs, 32, 1738076453862, 0.06705, 3.375, 8.937, -18.28523, -2.26103, -1.79622
Hs, 33, 1738076453873, 0.17895, 3.29805, 8.99205, -19.75845, -3.1749, -1.86713
Hs, 34, 1738076453885, 0.141, 3.12405, 9.16695, -21.01896, -5.2705, -2.00106
Hs, 35, 1738076453896, 0.141, 3.12405, 9.16695, -21.72011, -6.95642, -1.79622
Hs, 36, 1738076453906, 0.261, 3.21, 9.05895, -22.5552, -8.83931, -1.86713
Hs, 37, 1738076453917, 0.261, 3.21, 9.05895, -24.51686, -8.91021, -2.70221
Hs, 38, 1738076453929, 0.43095, 3.138, 8.922, -26.54943, -8.83931, -3.40337
Hs, 39, 1738076453939, 0.43095, 3.138, 8.922, -29.13347, -10.17072, -4.10453
Hs, 40, 1738076453951, 0.39, 3.018, 8.877, -32.56835, -10.09981, -4.31724
Hs, 41, 1738076453961, 0.36795, 2.79795, 9.219, -34.1046, -8.56357, -4.17543
Hs, 42, 1738076453973, 0.36795, 2.79795, 9.219, -34.80575, -7.09035, -3.47427
Hs, 43, 1738076453983, 0.237, 2.70495, 9.65505, -34.38821, -5.4123, -2.56041
Hs, 44, 1738076453994, 0.237, 2.70495, 9.65505, -31.9381, -2.96219, -1.72532
Hs, 45, 1738076454006, 0.31995, 2.664, 9.76995, -30.11824, -2.61555, -2.07196
Hs, 46, 1738076454016, 0.31995, 2.664, 9.76995, -29.55889, -4.92386, -2.84402
Hs, 47, 1738076454028, 0.34695, 2.53695, 9.279, -30.95333, -9.61137, -4.17543
Hs, 48, 1738076454039, 0.378, 2.37705, 9.18795, -32.91499, -10.73007, -4.59297
Hs, 49, 1738076454050, 0.378, 2.37705, 9.18795, -34.80575, -8.42176, -4.38026
Hs, 50, 1738076454061, 0.31305, 2.283, 9.396, -37.04316, -1.84349, -2.98583
Hs, 51, 1738076454072, 0.31305, 2.283, 9.396, -37.32677, 1.58351, -1.3708
Hs, 52, 1738076454083, 0.249, 2.223, 9.70305, -36.20807, 3.61608, 0.23635
Hs, 53, 1738076454094, 0.249, 2.223, 9.70305, -34.1755, 5.22323, 0.8666
Hs, 54, 1738076454106, 0.37605, 2.12295, 10.21305, -29.90553, 7.25579, 0.23635
Hs, 55, 1738076454117, 0.25305, 2.00505, 9.85395, -28.08567, 7.95695, -0.323
Hs, 56, 1738076454128, 0.25305, 2.00505, 9.85395, -28.22748, 8.5163, -0.2521
Hs, 57, 1738076454139, 0.40695, 2.02905, 9.159, -30.32308, 8.79992, 0.30725
Hs, 58, 1738076454150, 0.40695, 2.02905, 9.159, -33.47434, 10.33616, 0.9375
Hs, 59, 1738076454161, 0.723, 2.082, 8.77905, -37.32677, 12.01421, 1.28414
