Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.039, 0.162, 9.804, 0.04727, 0.11817, -0.05515
2, -0.039, 0.162, 9.804, -0.02363, 0.11817, -0.05515
3, -0.01305, 0.15705, 9.801, -0.02363, 0.04727, 0.01576
4, -0.00405, 0.15495, 9.82095, -0.02363, 0.04727, -0.05515
5, -0.01095, 0.16005, 9.816, -0.02363, -0.02363, -0.05515
6, -0.01605, 0.165, 9.82995, -0.02363, 0.04727, 0.01576
7, -0.00795, 0.18405, 9.816, 0.04727, -0.02363, 0.01576
8, -0.03, 0.16005, 9.828, 0.04727, 0.04727, 0.01576
9, -0.01305, 0.162, 9.82305, -0.02363, 0.04727, 0.01576
10, -0.02295, 0.15, 9.80595, -0.02363, 0.04727, -0.05515
11, -0.02295, 0.15495, 9.81795, -0.02363, -0.02363, -0.05515
12, -0.03705, 0.162, 9.813, -0.02363, 0.04727, -0.05515
13, -0.00405, 0.16905, 9.816, -0.02363, -0.02363, -0.05515
14, -0.02295, 0.15495, 9.816, -0.02363, -0.02363, -0.05515
15, -0.02295, 0.15705, 9.825, -0.02363, -0.02363, 0.01576
16, -0.03, 0.15705, 9.82305, -0.02363, -0.02363, 0.01576
17, -0.01095, 0.174, 9.825, -0.02363, -0.02363, 0.01576
18, -0.02505, 0.15705, 9.83295, -0.02363, 0.04727, 0.01576
19, -0.00795, 0.165, 9.81105, -0.02363, -0.02363, 0.01576
20, -0.006, 0.15705, 9.81795, -0.02363, -0.02363, 0.07878
21, -0.00795, 0.153, 9.81795, 0.04727, -0.02363, 0.01576
22, -0.00105, 0.162, 9.80895, -0.09454, -0.02363, 0.01576
23, -0.01095, 0.16005, 9.81795, -0.02363, -0.02363, -0.05515
24, -0.01605, 0.16005, 9.81795, 0.04727, -0.02363, -0.05515
25, -0.04395, 0.16695, 9.816, 0.04727, -0.02363, 0.01576
26, -0.03, 0.16905, 9.813, -0.02363, -0.02363, -0.05515
27, -0.01095, 0.15705, 9.81795, 0.04727, -0.02363, -0.05515
28, -0.00405, 0.15495, 9.83295, 0.04727, 0.04727, -0.05515
29, -0.01995, 0.14595, 9.828, 0.04727, -0.02363, 0.01576
30, -0.02505, 0.16005, 9.80595, -0.02363, -0.02363, 0.01576
31, -0.02805, 0.153, 9.82095, -0.02363, 0.04727, 0.01576
32, -0.03, 0.16005, 9.82305, -0.02363, 0.04727, -0.05515
33, -0.02295, 0.14595, 9.82995, -0.02363, -0.02363, -0.05515
34, -0.03195, 0.15705, 9.81105, -0.02363, 0.04727, -0.05515
35, -0.03495, 0.177, 9.816, 0.04727, 0.04727, -0.05515
36, -0.02505, 0.16695, 9.81795, -0.02363, 0.04727, 0.01576
37, -0.02295, 0.14805, 9.828, 0.04727, -0.02363, -0.05515
38, -0.01605, 0.14595, 9.81105, 0.04727, -0.02363, 0.01576
39, -0.01095, 0.16005, 9.82305, -0.09454, -0.02363, 0.01576
40, -0.02505, 0.165, 9.81105, -0.02363, -0.02363, -0.05515
41, -0.03495, 0.15495, 9.82995, -0.02363, -0.02363, 0.01576
42, -0.02505, 0.153, 9.80595, -0.02363, -0.02363, 0.01576
