SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
1, 1737991134947, -0.44595, 2.16405, 8.47005, -12.62083, 12.11662, 4.56934
2, 1737991134960, 0.09705, 2.50395, 9.138, -10.73007, 0.35452, 5.05779
3, 1737991134970, 0.09705, 2.50395, 9.138, -6.31829, -1.46534, 3.16702
4, 1737991134978, 0.276, 2.52105, 10.938, 1.52049, 3.99423, 1.41807
5, 1737991134986, 0.276, 2.52105, 10.938, 8.45328, 9.59561, 0.37027
6, 1737991134993, 0.276, 2.52105, 10.938, 10.97429, 11.20276, 0.37027
7, 1737991135001, -0.147, 2.23095, 10.52205, 13.77104, 11.6912, 1.21324
8, 1737991135009, -0.147, 2.23095, 10.52205, 13.55833, 10.5725, 2.26103
9, 1737991135017, -0.28995, 2.17095, 9.267, 10.97429, 8.40601, 3.104
10, 1737991135026, -0.28995, 2.17095, 9.267, 9.35927, 7.49214, 3.45064
11, 1737991135034, -0.39795, 2.31, 8.70705, 5.58562, 5.60138, 4.2936
12, 1737991135042, -0.39795, 2.31, 8.70705, 2.07984, 3.43488, 5.61713
13, 1737991135050, -0.39795, 2.31, 8.70705, 0.81933, 2.66282, 6.31829
14, 1737991135059, -0.003, 2.286, 9.07995, -1.76471, 2.03257, 6.24739
15, 1737991135069, -0.003, 2.286, 9.07995, -2.74948, 3.99423, 4.85295
16, 1737991135075, 0.24495, 2.37, 9.846, -1.55988, 7.49214, 3.59245
17, 1737991135083, 0.24495, 2.37, 9.846, -1.00053, 8.75265, 2.67858
18, 1737991135092, 0.42495, 2.37195, 9.83895, 0.6145, 10.08406, 0.78782
19, 1737991135100, 0.42495, 2.37195, 9.83895, 2.29255, 11.06095, -1.03204
20, 1737991135109, 0.03705, 2.53995, 9.53505, 2.9937, 11.6203, -2.07984
21, 1737991135117, 0.03705, 2.53995, 9.53505, 2.9937, 11.55727, -2.00893
22, 1737991135125, 0.03705, 2.53995, 9.53505, 2.22164, 9.312, -1.93803
23, 1737991135133, -0.123, 2.47995, 9.11595, 0.54359, 8.61084, -1.09507
24, 1737991135142, -0.123, 2.47995, 9.11595, -1.07143, 8.3351, -0.04727
25, 1737991135150, -0.099, 2.52795, 9.06405, -1.76471, 8.05149, 0.22847
26, 1737991135158, -0.099, 2.52795, 9.06405, -2.82038, 7.70485, 0.58298
27, 1737991135166, 0.018, 2.50395, 9.29595, -3.09612, 7.0746, 0.29937
28, 1737991135174, 0.018, 2.50395, 9.29595, -3.02522, 6.58615, 0.02363
29, 1737991135183, 0.018, 2.50395, 9.29595, -2.39496, 5.81409, -0.74843
30, 1737991135191, 0.05595, 2.45595, 9.58605, -1.90652, 4.90022, -1.79622
31, 1737991135199, 0.05595, 2.45595, 9.58605, -1.07143, 3.99423, -2.63919
32, 1737991135208, -0.063, 2.34795, 9.67905, -0.57511, 3.92333, -2.71009
33, 1737991135220, -0.063, 2.34795, 9.67905, -0.08666, 3.99423, -3.05673
34, 1737991135227, -0.36705, 2.34795, 9.57405, -0.08666, 4.26997, -2.71009
35, 1737991135239, -0.36705, 2.34795, 9.57405, 0.11817, 3.85242, -1.7332
36, 1737991135247, -0.14895, 2.487, 9.54705, 0.25998, 4.06514, -1.59139
37, 1737991135259, -0.14895, 2.487, 9.54705, 0.96114, 4.97113, -1.59139
38, 1737991135269, -0.123, 2.547, 9.744, 2.50526, 5.04203, -1.59139
39, 1737991135280, -0.123, 2.547, 9.744, 5.01839, 5.18384, -1.86713
40, 1737991135291, -0.16305, 2.50605, 9.729, 7.12187, 4.41178, -2.49738
41, 1737991135302, -0.333, 2.442, 9.21705, 6.98006, 2.87553, -2.36345
42, 1737991135313, -0.333, 2.442, 9.21705, 6.07407, 1.89076, -1.52049
43, 1737991135324, -0.37695, 2.46795, 9.37995, 5.30201, 3.29307, -0.40179
44, 1737991135335, -0.37695, 2.46795, 9.37995, 5.0893, 3.36398, 0.58298
45, 1737991135345, -0.324, 2.41995, 9.47505, 4.88447, 2.73372, 1.21324
46, 1737991135355, -0.20895, 2.58495, 9.636, 5.64865, 1.61502, 1.34717
47, 1737991135366, -0.20895, 2.58495, 9.636, 6.42071, 0.98477, 1.07143
48, 1737991135377, -0.15405, 2.60895, 9.552, 6.70432, 1.1896, 0.65389
49, 1737991135388, -0.15405, 2.60895, 9.552, 6.70432, 3.15127, -0.18908
50, 1737991135399, -0.15405, 2.53995, 9.708, 6.56252, 7.1455, -0.60662
51, 1737991135410, -0.15405, 2.53995, 9.708, 6.56252, 8.89445, -0.40179
52, 1737991135421, -0.20205, 2.56095, 9.79095, 7.33458, 10.01315, -0.47269
53, 1737991135434, -0.288, 2.59695, 9.62595, 9.91862, 11.06095, -0.89023
54, 1737991135445, -0.288, 2.59695, 9.62595, 11.17912, 10.71431, -0.74843
55, 1737991135457, -0.36705, 2.62605, 9.15195, 11.04519, 10.28889, -0.40179
56, 1737991135468, -0.36705, 2.62605, 9.15195, 9.01263, 10.28889, -1.7332
57, 1737991135479, -0.393, 2.74305, 9.339, 7.61031, 12.60507, -2.8519
58, 1737991135490, -0.393, 2.74305, 9.339, 6.14497, 14.77157, -3.19854
59, 1737991135502, -0.345, 2.72205, 9.47295, 4.88447, 16.73323, -4.24633
60, 1737991135512, -0.37395, 2.70495, 9.79395, 5.86136, 19.67179, -6.00317
61, 1737991135523, -0.37395, 2.70495, 9.79395, 7.05096, 22.61035, -6.69644
62, 1737991135534, -0.58995, 2.72205, 9.38895, 6.98006, 22.75215, -6.56252
63, 1737991135545, -0.58995, 2.72205, 9.38895, 6.3498, 23.1697, -5.86136
64, 1737991135556, -0.69705, 2.688, 8.96805, 5.2311, 20.79049, -5.43594
65, 1737991135567, -0.69705, 2.688, 8.96805, 4.45904, 20.9323, -5.43594
66, 1737991135578, -0.867, 2.76, 9.234, 3.34034, 21.14501, -5.1602
67, 1737991135589, -0.963, 2.78205, 9.24795, 2.15074, 20.23114, -4.67175
68, 1737991135600, -0.963, 2.78205, 9.24795, 1.24475, 21.34984, -4.24633
69, 1737991135611, -0.939, 2.70495, 9.246, 0.33088, 25.61981, -4.45904
70, 1737991135622, -0.939, 2.70495, 9.246, -0.5042, 27.02212, -4.87659
71, 1737991135633, -1.05405, 2.65005, 9.25305, -1.27626, 28.42444, -4.45904
72, 1737991135644, -1.09995, 2.67105, 9.06795, -2.53677, 29.96068, -3.61608
73, 1737991135655, -1.09995, 2.67105, 9.06795, -3.79728, 28.70017, -3.9706
74, 1737991135666, -1.05195, 2.89605, 9.10695, -4.77417, 27.36876, -5.01839
75, 1737991135678, -1.05195, 2.89605, 9.10695, -5.68804, 26.32096, -6.13709
76, 1737991135689, -1.17105, 2.841, 9.195, -6.80674, 26.39187, -7.61031
77, 1737991135699, -1.17105, 2.841, 9.195, -7.16126, 26.88032, -8.5163
78, 1737991135710, -1.33695, 2.59995, 9.46305, -6.73584, 27.65238, -8.94172
79, 1737991135721, -1.40595, 2.451, 9.63795, -4.1518, 28.28263, -8.94172
80, 1737991135732, -1.40595, 2.451, 9.63795, -1.70168, 28.91288, -8.4454
81, 1737991135743, -1.51395, 2.619, 9.38895, 0.18908, 28.77108, -8.02785
82, 1737991135755, -1.51395, 2.619, 9.38895, 1.24475, 24.99743, -8.16966
83, 1737991135765, -1.59495, 2.841, 9.44895, 1.7332, 20.86139, -7.88605
84, 1737991135777, -1.59495, 2.841, 9.44895, 3.62396, 18.20645, -7.88605
85, 1737991135787, -1.50705, 2.76, 9.76305, 8.65811, 15.54363, -9.57198
86, 1737991135799, -1.73895, 2.547, 9.46305, 12.58144, 12.32146, -10.54887
87, 1737991135810, -1.73895, 2.547, 9.46305, 16.15025, 9.52471, -10.83248
88, 1737991135821, -1.827, 2.616, 9.03195, 18.95488, 6.0268, -11.45486
89, 1737991135832, -1.827, 2.616, 9.03195, 19.30152, -1.67805, -10.33616
90, 1737991135843, -2.05305, 2.64, 9.08295, 17.55256, -0.76418, -7.3976
91, 1737991135854, -2.05305, 2.64, 9.08295, 15.80361, -1.88288, -7.68122
92, 1737991135875, -1.84695, 2.796, 8.661, 6.98006, -4.82932, -6.49161
93, 1737991135887, -1.84695, 2.796, 8.661, 3.82879, -6.36556, -6.42071
94, 1737991135899, -1.66005, 2.889, 8.72805, 0.18908, -10.35192, -6.62554
95, 1737991135909, -1.66005, 2.889, 8.72805, -0.64601, -12.24267, -6.56252
96, 1737991135920, -1.72695, 2.74995, 9.147, -0.37027, -15.18911, -6.42071
97, 1737991135934, -1.698, 2.75505, 9.26505, 0.54359, -20.43597, -6.208
98, 1737991135946, -1.698, 2.75505, 9.26505, 0.81933, -21.97222, -5.50684
99, 1737991135956, -1.593, 2.80995, 9.19305, 0.54359, -21.83829, -5.01839
100, 1737991135968, -1.593, 2.80995, 9.19305, -0.01576, -22.32673, -4.94749
101, 1737991135978, -1.40805, 2.808, 9.19995, -0.64601, -22.88608, -4.94749
102, 1737991135991, -1.13805, 2.94705, 9.162, -1.63078, -23.51634, -6.2789
103, 1737991136001, -1.13805, 2.94705, 9.162, -2.39496, -22.04312, -7.4685
104, 1737991136012, -1.11405, 2.72205, 8.41995, -5.19959, -22.25583, -8.72901
105, 1737991136024, -1.11405, 2.72205, 8.41995, -12.33721, -28.41656, -8.38237
106, 1737991136035, -1.557, 2.67405, 9.195, -14.64552, -29.74797, -5.99529
107, 1737991136045, -1.557, 2.67405, 9.195, -15.48848, -27.99902, -5.1602
108, 1737991136056, -1.22205, 2.78205, 9.69795, -14.78732, -26.17916, -5.79045
109, 1737991136067, -1.19805, 2.71695, 9.77505, -12.19541, -25.61193, -6.49161
110, 1737991136078, -1.19805, 2.71695, 9.77505, -9.46956, -24.98168, -6.76735
111, 1737991136089, -0.98895, 2.71695, 9.981, -6.10558, -22.95699, -7.3976
112, 1737991136100, -0.98895, 2.71695, 9.981, 2.15074, -21.41286, -7.95695
113, 1737991136111, -1.07295, 2.68305, 10.179, 8.38237, -19.87662, -7.53941
114, 1737991136122, -1.07295, 2.68305, 10.179, 12.72324, -17.2138, -7.75212
115, 1737991136133, -0.94605, 2.60205, 9.55395, 15.17335, -13.15654, -7.68122
116, 1737991136144, -1.04505, 2.71695, 9.11895, 14.4722, -10.56463, -6.83825
117, 1737991136155, -1.04505, 2.71695, 9.11895, 12.16389, -7.69697, -6.06619
118, 1737991136166, -1.035, 2.75295, 9.126, 8.09876, -4.05726, -4.94749
119, 1737991136178, -1.035, 2.75295, 9.126, 6.07407, -1.53624, -4.60085
120, 1737991136188, -1.07295, 2.71005, 9.186, 4.60085, 0.0709, -4.45904
121, 1737991136199, -1.07295, 2.71005, 9.186, 3.41125, 0.28361, -4.67175
122, 1737991136210, -1.08, 2.829, 9.14505, 2.50526, -1.53624, -4.60085
123, 1737991136222, -1.14495, 2.83695, 9.33405, 2.56828, -2.02469, -3.9706
124, 1737991136233, -1.14495, 2.83695, 9.33405, 2.50526, -1.1187, -3.61608
125, 1737991136244, -0.97305, 2.829, 9.16905, 0.74843, 0, -4.24633
126, 1737991136255, -0.97305, 2.829, 9.16905, -0.08666, 0, -4.52995
127, 1737991136266, -1.06395, 2.87205, 9.50895, 0.18908, 1.74895, -4.60085
128, 1737991136277, -1.023, 2.80095, 9.40395, 1.52049, 4.75841, -5.2311
129, 1737991136288, -1.023, 2.80095, 9.40395, 2.43435, 5.25474, -5.93226
130, 1737991136299, -1.17405, 2.80305, 9.38895, 3.26944, 4.97113, -5.86136
131, 1737991136309, -1.17405, 2.80305, 9.38895, 3.34034, 3.15127, -4.81356
132, 1737991136320, -1.18095, 2.82705, 9.08295, 2.00893, 1.54412, -4.24633
133, 1737991136331, -1.18095, 2.82705, 9.08295, 0.54359, 0, -3.9706
134, 1737991136342, -1.12395, 2.86305, 9.27705, -0.71691, 1.05567, -3.48215
135, 1737991136353, -1.04205, 2.88195, 9.26505, -0.85872, 2.66282, -4.1124
