ID , SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
ANKI, 1, 1738146202099, -0.02483, 3.20907, 8.55584, -27.12933, -10.52825, -10.56258
ANKI, 2, 1738146202168, -3.5662, -9.7337, 13.76262, 37.52789, -4.36388, 27.26284
ANKI, 3, 1738146202225, -1.29302, 2.84058, 7.50539, 3.65056, 16.52478, 7.46514
ANKI, 4, 1738146202281, -1.86012, 2.07966, 9.07269, -17.89422, 11.98161, -7.59484
ANKI, 5, 1738146202353, 0.74806, 1.64417, 10.51556, 28.2737, -19.63367, 1.39614
ANKI, 6, 1738146202426, -3.70977, 5.31237, 7.95524, -23.05535, -1.69749, -15.8229
ANKI, 7, 1738146202501, -1.55145, 0.98853, 9.48425, 15.79238, 32.00437, 52.68705
ANKI, 8, 1738146202564, -1.48205, -0.23898, 10.68066, 30.35265, -2.46041, 42.18168
ANKI, 9, 1738146202634, -0.35264, 1.67288, 7.30678, 9.53646, -15.05617, 6.61068
ANKI, 10, 1738146202709, -0.15882, -2.77059, 10.8697, -15.6398, -9.29996, -10.67321
ANKI, 11, 1738146202781, 1.44676, -7.75005, 10.69263, -0.25176, 14.87688, 4.97803
ANKI, 12, 1738146202852, -1.61605, -5.25913, 9.98914, 15.09813, -2.57103, 2.07513
ANKI, 13, 1738146202922, -1.46291, 3.57039, 9.41007, 0.67518, -5.94312, -7.96485
ANKI, 14, 1738146202991, -0.62782, -6.37897, 11.78854, -14.32758, -7.01121, -12.00831
ANKI, 15, 1738146203066, -4.12852, -0.4328, 9.4675, -31.21475, -6.50768, -19.1187
ANKI, 16, 1738146203126, -1.88883, 0.42861, 9.02004, -31.42073, 4.00531, -12.79412
ANKI, 17, 1738146203181, 0.24556, -3.25873, 12.88924, -16.87572, 3.41787, -13.00773
ANKI, 18, 1738146203250, 0.68824, -1.8326, 8.97219, -7.46133, 1.89585, -15.72753
ANKI, 19, 1738146203322, 0.07567, -1.71057, 7.93131, 44.08897, -22.64719, 9.84163
ANKI, 20, 1738146203381, 0.8318, -2.46192, 10.58974, 22.33821, -4.69194, 21.27012
ANKI, 21, 1738146203439, 0.22403, -1.88525, 10.47488, 11.02415, 0.72096, 13.13362
ANKI, 22, 1738146203497, -2.28126, -1.6675, 9.87189, -16.07085, 0.04959, -3.39498
ANKI, 23, 1738146203555, 0.85334, -2.79452, 10.89602, -56.51689, 16.80325, -9.66616
ANKI, 24, 1738146203612, -1.80987, -0.9329, 10.59931, 0.30517, 14.75481, 14.44965
ANKI, 25, 1738146203670, -1.45334, -1.58375, 12.36282, 21.50663, 2.71598, 15.78857
ANKI, 26, 1738146203729, -1.07288, 0.64158, 10.12314, -12.7369, -2.71598, -6.41995
ANKI, 27, 1738146203786, 1.17398, -5.02702, 10.16142, 19.09581, -4.81401, 8.68962
ANKI, 28, 1738146203843, 1.25294, -2.80648, 7.12971, -1.49913, -3.87562, -1.31985
ANKI, 29, 1738146203906, -2.17597, -6.09661, 10.09921, 4.02439, 1.20159, 1.95307
