ID , SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
ANKI, 1, 1738146531231, -4.12852, 1.84995, 11.70718, 22.40687, -3.72685, 6.8777
ANKI, 2, 1738146531292, -2.12333, 1.85474, 9.02244, -11.37891, 8.99479, -12.67968
ANKI, 3, 1738146531355, 1.48026, -5.94108, 10.86491, -16.26158, 4.37914, -8.41879
ANKI, 4, 1738146531420, -1.08006, 1.80927, 8.3668, 20.27833, -0.69044, 15.79238
ANKI, 5, 1738146531483, -3.51356, 1.43599, 11.15923, 11.33695, -3.19281, 1.29696
ANKI, 6, 1738146531552, 0.25035, -0.11456, 9.23061, 26.53807, -9.22748, 15.02946
ANKI, 7, 1738146531617, 1.52094, -7.9678, 10.42702, -3.70015, -1.48006, -1.45336
ANKI, 8, 1738146531679, -0.6996, 2.41705, 7.69921, -4.97803, -3.24621, -4.2113
ANKI, 9, 1738146531739, -4.19552, 0.35204, 12.21925, 7.98011, 10.06669, 5.68755
ANKI, 10, 1738146531802, 1.92532, -1.9666, 10.19253, 18.61899, -2.9563, 12.48132
ANKI, 11, 1738146531866, -0.59671, 4.70459, 8.14188, 24.69944, -4.9704, 17.1847
ANKI, 12, 1738146531931, -0.37657, -7.01546, 11.29323, -29.30364, -3.91376, -15.98693
ANKI, 13, 1738146531997, -3.03739, -1.52154, 12.61167, -18.49692, -4.22275, -10.51681
ANKI, 14, 1738146532065, 1.12612, -1.19851, 10.17099, -2.42226, 7.66732, -0.22506
ANKI, 15, 1738146532131, -1.0992, 4.64716, 8.4673, 8.12507, 14.89595, -0.57219
ANKI, 16, 1738146532195, -1.31934, 1.6346, 8.98894, 23.21938, -6.21014, 10.62743
ANKI, 17, 1738146532260, -2.40329, -0.45194, 11.87947, -17.27625, -19.18736, -15.88012
ANKI, 18, 1738146532326, 0.84855, 1.06511, 8.8358, 9.0749, 14.40006, -2.9029
ANKI, 19, 1738146532393, -1.79551, 4.42702, 10.31935, -1.67842, 13.72488, -5.17258
ANKI, 20, 1738146532458, -2.80768, 2.85254, 8.82144, 14.81203, -4.48214, 8.57519
