ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
hs,1,1738146481093,-0.70605,4.395,11.85495,2.35557,24.46959,16.22115
hs,2,1738146481104,-0.70605,4.395,11.85495,8.94172,4.03362,5.1602
hs,3,1738146481116,-1.73295,-2.19105,10.19295,1.10294,0.53572,5.79045
hs,4,1738146481127,-1.73295,-2.19105,10.19295,9.43017,1.4417,0.54359
hs,5,1738146481137,2.10105,2.886,12.69105,3.75789,2.07196,-0.92962
hs,6,1738146481148,2.10105,2.886,12.69105,-1.55988,2.07196,-2.95431
hs,7,1738146481160,-0.57195,8.08005,9.60405,-8.98111,4.10453,-0.92962
hs,8,1738146481171,-1.482,-1.60905,5.57205,17.55256,2.49738,2.29255
hs,9,1738146481191,-1.482,-1.60905,5.57205,13.06988,10.61189,-0.78782
hs,10,1738146481210,0.186,-1.82895,6.20895,-4.98688,2.84402,-4.07301
hs,11,1738146481225,1.953,-2.454,14.66805,8.5163,3.19066,-0.85872
hs,12,1738146481244,-2.856,1.89,7.90905,3.19854,0.67752,-2.39496
hs,13,1738146481259,-3.546,-4.944,11.36205,-1.34717,11.94331,-2.46587
hs,14,1738146481275,4.431,2.83395,6.82005,11.46274,-5.13657,-10.58826
hs,15,1738146481288,4.431,2.83395,6.82005,2.35557,17.54468,-10.16284
hs,16,1738146481301,2.592,0.60495,7.998,-11.07671,7.3267,-6.52312
hs,17,1738146481322,0.021,0.135,13.99605,1.44958,-12.20328,-8.48479
hs,18,1738146481336,0.267,2.247,10.07805,6.98006,6.06619,-9.95801
hs,19,1738146481352,1.03095,-1.07295,8.03895,3.68698,14.88186,-7.43699
hs,20,1738146481366,1.03095,-1.07295,8.03895,3.34034,13.83407,-10.02891
hs,21,1738146481380,-1.12995,3.162,14.12505,13.84194,-18.92336,-8.97324
hs,22,1738146481397,-3.17205,-2.91195,6.70005,-3.79728,-3.87606,-6.94855
hs,23,1738146481409,1.63005,-1.932,11.4,-6.31829,-2.54465,-10.65129
hs,24,1738146481423,-1.63995,1.57395,5.84505,19.71906,-14.58249,-11.56515
hs,25,1738146481443,-1.63995,1.57395,5.84505,14.81884,-0.8666,-1.97742
hs,26,1738146481464,-0.357,4.026,14.95995,4.52995,-9.26473,-9.8871
hs,27,1738146481477,-0.357,4.026,14.95995,17.68649,-11.01368,-7.36609
hs,28,1738146481498,-1.60395,1.24095,12.05595,-5.82985,-22.9885,-9.04414
hs,29,1738146481514,-0.55995,-2.145,12.315,13.21169,-5.62501,-13.03837
