ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
hs,1,1738146362781,-1.314,1.48095,12.303,-6.24739,-8.27208,-1.07143
hs,2,1738146362794,-0.47595,6.291,12.078,9.01263,4.1124,1.37868
hs,3,1738146362808,0.54,3.459,10.67895,-0.29937,1.94591,-1.70168
hs,4,1738146362830,1.51695,4.90695,8.592,1.7332,6.63342,0.04727
hs,5,1738146362844,1.51695,4.90695,8.592,-6.531,4.18331,4.17543
hs,6,1738146362862,0.303,-0.58005,8.49105,1.7332,2.9937,2.42648
hs,7,1738146362876,2.08695,-0.80505,9.408,-0.85872,-8.06725,6.69644
hs,8,1738146362895,0.89895,-1.176,6.17595,4.25421,4.95537,4.60085
hs,9,1738146362910,1.95495,-2.715,8.92005,7.53941,-24.02054,8.38237
hs,10,1738146362927,0.159,1.548,7.854,1.52049,9.22534,2.78099
hs,11,1738146362947,0.768,-6.62295,8.946,-5.3414,-13.52682,5.01839
hs,12,1738146362959,0.768,-6.62295,8.946,-7.85453,8.73689,2.78099
hs,13,1738146362973,-1.01295,-2.193,7.16205,2.8519,1.17385,4.17543
hs,14,1738146362992,-0.18195,-6.747,10.272,-10.30465,6.63342,2.42648
hs,15,1738146363007,-2.30805,-0.51705,9.669,-5.19959,3.97848,5.2311
hs,16,1738146363025,-0.438,-9.42705,11.75205,-11.07671,0.40966,4.24633
hs,17,1738146363039,-3.76095,0.94695,10.83705,-9.8871,-1.6229,2.15074
hs,18,1738146363058,-0.603,-3.96,12.28395,-0.44118,-13.94436,6.3498
hs,19,1738146363071,-0.603,-3.96,12.28395,-4.21482,1.10294,3.82879
hs,20,1738146363085,-2.98995,1.78305,10.34895,6.70432,12.93596,5.99529
hs,21,1738146363102,-0.70605,-1.305,11.91195,-1.70168,11.67545,4.1124
hs,22,1738146363116,-1.413,3.447,11.154,5.1602,12.02997,7.53941
hs,23,1738146363129,-1.413,3.447,11.154,-1.83561,-14.43281,8.09876
hs,24,1738146363147,-0.44805,3.597,10.311,-5.54623,3.49003,3.68698
hs,25,1738146363162,-0.72105,3.80595,10.43295,1.59139,-4.07301,5.79045
hs,26,1738146363179,0.126,-0.31905,10.73505,-9.46956,7.19277,3.75789
hs,27,1738146363193,-0.23895,0.954,9.552,7.68122,14.68491,4.67175
hs,28,1738146363205,-0.23895,0.954,9.552,-1.41807,-4.77417,5.86136
hs,29,1738146363224,-0.59595,1.41405,9.00795,-3.72637,7.12974,4.74266
hs,30,1738146363238,0.21,2.32605,9.87705,-1.83561,-18.98639,6.42071
hs,31,1738146363249,-2.02095,-1.27395,8.96805,-7.5079,-10.23374,2.29255
hs,32,1738146363268,1.57695,0.672,10.09305,3.89969,-8.76052,6.2789
hs,33,1738146363280,1.57695,0.672,10.09305,-1.55988,-1.06355,9.14655
hs,34,1738146363294,0.01095,-0.30405,8.778,0.05515,-5.89287,2.63919
hs,35,1738146363311,0.63795,2.44605,10.572,4.52995,-9.04414,7.88605
hs,36,1738146363325,1.74705,0.07095,9.76995,-5.61713,-0.5042,3.54518
hs,37,1738146363338,1.74705,0.07095,9.76995,3.82879,23.22484,5.43594
hs,38,1738146363356,2.14395,-1.317,9.28605,-9.25685,23.15394,9.84771
hs,39,1738146363372,-0.192,0.921,8.47395,-7.36609,-6.94067,4.31724
hs,40,1738146363391,0.90195,0.88695,10.50495,-5.47533,-7.50002,7.4685
hs,41,1738146363403,1.347,0.99705,9.078,-4.35663,-6.03468,0.40179
hs,42,1738146363423,0.45405,-4.48995,11.58,6.42071,-1.90652,7.3267
hs,43,1738146363439,0.45405,-4.48995,11.58,-7.23216,10.90339,0.40179
hs,44,1738146363455,-1.09905,-0.92205,9.43695,7.19277,-2.25316,4.24633
hs,45,1738146363468,-0.21495,-4.37505,10.794,-2.89129,4.60873,0.11817
hs,46,1738146363482,-1.935,0.657,9.813,-1.97742,-3.09612,1.79622
hs,47,1738146363501,0.459,-5.22,11.96805,0.33088,-25.35195,8.79992
hs,48,1738146363514,0.459,-5.22,11.96805,1.44958,0.7563,-0.22847
hs,49,1738146363533,-2.13105,0.813,11.12205,8.45328,-7.64182,3.54518
hs,50,1738146363547,-0.936,-5.718,9.324,0.33088,15.31516,-0.72479
hs,51,1738146363567,-2.64795,1.737,10.098,13.4244,-10.9349,2.71009
hs,52,1738146363580,0.86805,-5.82105,10.15995,1.7332,26.93546,-0.15756
hs,53,1738146363594,-1.92705,-0.33105,8.58,14.11768,6.70432,2.56828
hs,54,1738146363607,-1.92705,-0.33105,8.58,5.64865,3.34822,5.86136
hs,55,1738146363621,-0.97005,-4.233,10.155,-4.49843,19.58513,-3.45064
hs,56,1738146363635,-1.92495,1.84995,7.57905,8.52418,-12.68385,-0.29937
hs,57,1738146363650,-1.92495,1.84995,7.57905,-1.20536,3.13551,4.87659
hs,58,1738146363664,-0.714,-1.01805,10.90905,5.37291,1.875,-2.74948
hs,59,1738146363677,-1.34805,0.24795,8.055,4.25421,-4.28572,-2.67858
hs,60,1738146363693,-2.85405,-0.699,10.98405,-5.4123,16.64657,-5.75894
hs,61,1738146363707,-2.85405,-0.699,10.98405,8.79992,-0.92175,-1.55988
hs,62,1738146363720,-2.17905,1.809,8.68305,2.63919,-3.72637,1.86713
hs,63,1738146363734,-2.37795,-0.441,11.77095,2.36345,1.24475,-2.54465
hs,64,1738146363745,-3.261,2.92905,9.195,7.33458,-0.22059,-2.33194
hs,65,1738146363759,-3.261,2.92905,9.195,1.30778,-7.92544,3.41125
hs,66,1738146363773,-3.402,-1.236,11.64195,1.66229,-2.04045,-2.26103
