Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.01995, 0.16005, 9.825, -0.01576, 0.323, 0.03939
2, -0.018, 0.165, 9.81105, -0.01576, 0.11817, 0.03939
3, -0.02295, 0.17205, 9.84, -0.01576, 0.04727, -0.03151
4, -0.02295, 0.153, 9.82995, 0.05515, 0.11817, 0.03939
5, -0.02505, 0.174, 9.816, -0.01576, 0.04727, 0.03939
6, -0.006, 0.165, 9.813, 0.05515, 0.04727, -0.03151
7, -0.02505, 0.16905, 9.82095, 0.05515, 0.04727, 0.03939
8, -0.02505, 0.162, 9.82305, -0.01576, 0.04727, 0.03939
9, -0.018, 0.16905, 9.82995, 0.05515, 0.04727, 0.03939
10, -0.00405, 0.141, 9.837, 0.05515, -0.02363, -0.03151
11, -0.01095, 0.165, 9.825, -0.01576, 0.04727, 0.03939
12, -0.01995, 0.153, 9.83505, -0.01576, 0.04727, -0.03151
13, -0.02295, 0.162, 9.83295, -0.01576, -0.02363, 0.03939
14, -0.02505, 0.16005, 9.83505, -0.01576, -0.02363, 0.03939
15, -0.018, 0.16695, 9.83295, -0.01576, 0.04727, -0.03151
16, -0.018, 0.16905, 9.83295, -0.01576, -0.02363, 0.03939
17, -0.02295, 0.15495, 9.81795, -0.01576, -0.02363, -0.03151
18, -0.01095, 0.177, 9.81795, -0.01576, 0.04727, 0.11029
19, -0.02805, 0.16005, 9.85395, -0.01576, -0.02363, -0.03151
20, 0.00495, 0.165, 9.83505, 0.05515, -0.02363, -0.03151
21, -0.02505, 0.162, 9.828, 0.05515, -0.02363, 0.03939
22, -0.006, 0.153, 9.83505, -0.01576, -0.02363, 0.03939
23, -0.01095, 0.16905, 9.82305, -0.01576, -0.02363, -0.03151
24, -0.02505, 0.165, 9.828, -0.01576, -0.02363, -0.03151
25, -0.00795, 0.17205, 9.83505, -0.01576, -0.02363, 0.03939
26, -0.01995, 0.177, 9.828, -0.01576, -0.02363, -0.03151
27, -0.02805, 0.162, 9.84195, 0.05515, 0.04727, 0.03939
28, -0.02295, 0.162, 9.82995, -0.01576, -0.02363, 0.03939
29, -0.02805, 0.18105, 9.82995, -0.01576, 0.04727, -0.03151
30, -0.01605, 0.17895, 9.837, -0.01576, 0.04727, -0.03151
31, -0.01995, 0.141, 9.84195, -0.01576, -0.02363, 0.03939
32, -0.006, 0.14295, 9.81795, -0.01576, 0.04727, -0.03151
33, -0.02505, 0.165, 9.80895, 2.43435, -11.50213, 0.323
34, -0.01305, 0.105, 9.816, 1.52049, -2.54465, 3.11976
35, -0.042, 0.15495, 9.825, 1.24475, -2.12711, 13.47955
36, -0.612, -0.20805, 9.801, 1.10294, -2.89129, 49.9476
37, -0.24105, -0.03495, 9.813, 0.82721, -1.9144, 85.15514
38, 0.44295, 0.41805, 9.85395, 0.6854, 0.323, 85.22604
39, 0.38295, 0.40605, 9.852, 0.82721, 1.58351, 71.22653
40, 0.201, 0.26295, 9.86895, 0.7563, 2.35557, 61.7097
41, -0.00405, 0.00405, 9.816, 0.96114, -2.82826, 61.07945
42, 0.34305, 0.38505, 9.852, 0.6854, 4.45117, 61.78061
43, 0.26595, -0.01395, 9.89505, 0.6145, 8.86294, 50.99539
44, 0.177, 0.06405, 9.77505, 2.01681, 16.21327, 34.41185
45, -0.21195, 0.16005, 9.636, -0.08666, 12.08511, 24.32779
46, 0.84105, -0.66495, 9.483, -5.54623, 1.86713, 16.3472
47, 1.224, -0.28695, 9.81795, -12.33721, -3.87606, 6.47586
48, 0.60795, 0.80595, 9.28395, -28.71593, -23.19333, 9.20958
49, -1.46205, 1.57995, 10.83795, -28.08567, -14.93701, 22.92547
50, 0.606, -1.12005, 9.84495, -21.15289, -3.0331, 18.37977
51, 0.168, -0.75405, 10.09095, -27.03788, 0.66964, 1.57563
52, -1.119, -1.03095, 10.347, -39.77688, 19.29364, -5.49108
53, -0.49005, -2.049, 9.49695, -36.83832, 14.39342, 3.67911
54, 0.75705, -2.12595, 9.354, -23.18545, 11.17124, -3.32459
55, 0.819, -1.72095, 10.03395, -5.12869, 16.42598, -10.87975
56, 0.16305, -1.23, 9.13095, -0.15756, -7.58668, -9.1308
57, 0.11295, -1.62, 9.98805, 2.36345, -28.37717, -2.89917
58, 0.11295, -1.62, 9.98805, 6.91703, -31.45753, -4.51419
59, 1.02705, -1.692, 9.71805, 14.40129, -22.70488, -15.85088
60, -0.669, 1.623, 10.668, 1.38656, -20.60929, -12.77051
61, 0.015, 0.009, 10.30695, -23.95751, -10.80885, 0.03939
62, 0.71895, -2.53305, 9.399, -32.70228, 0.74055, 8.92597
63, 1.614, -1.36395, 9.744, -30.60669, -11.57303, 13.96799
64, 2.244, 0.126, 10.158, -32.70228, -23.96539, 5.08142
65, 3.02205, -2.286, 10.21995, -31.02423, -24.59565, -10.39131
