SrNo, Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro 
1, 1737995751137, -3.204, 2.82495, 8.63505, 10.54887, 1.51261, 4.56146
2, 1737995751153, -2.517, 2.865, 7.78005, 1.16597, -13.25896, 4.9081
3, 1737995751168, -2.09295, 3.15, 8.30505, -2.19013, -26.48641, -0.20483
4, 1737995751187, -2.151, 2.961, 8.82195, -0.58298, -34.32518, -3.84455
5, 1737995751206, -2.09295, 2.817, 8.94105, 1.44958, -38.52425, -8.18542
6, 1737995751218, -2.09295, 2.817, 8.94105, 0.53572, -36.28685, -10.84036
7, 1737995751237, -1.83, 2.784, 9.13095, -0.72479, -31.87508, -15.59878
8, 1737995751251, -1.97595, 2.712, 9.22605, -1.97742, -27.95962, -17.70225
9, 1737995751269, -2.15805, 2.49705, 9.138, -4.42753, -22.70488, -17.56044
10, 1737995751285, -2.199, 2.628, 9.02295, -8.7684, -18.01737, -16.37084
11, 1737995751301, -1.98795, 2.77695, 9.435, -10.09981, -17.59983, -17.48954
12, 1737995751319, -1.863, 2.829, 9.85395, -7.44487, -16.19752, -19.93965
13, 1737995751337, -1.863, 2.829, 9.85395, -2.82038, -15.28365, -21.48377
14, 1737995751351, -1.827, 2.868, 9.87795, 3.75789, -12.06936, -22.11402
15, 1737995751366, -1.64805, 2.85105, 9.56205, 7.75212, -11.01368, -23.72117
16, 1737995751384, -1.41795, 2.86095, 9.38205, 11.32093, -10.87975, -27.14817
17, 1737995751401, -1.27695, 2.925, 9.15, 14.33039, -13.6765, -33.80523
18, 1737995751419, -1.35795, 2.92005, 9.042, 15.23638, -20.46749, -38.83937
19, 1737995751434, -1.34895, 2.916, 8.91495, 13.62923, -18.50582, -42.96754
20, 1737995751450, -1.34895, 2.916, 8.91495, 6.76735, -15.77997, -45.63036
21, 1737995751467, -1.29795, 2.76, 8.415, -3.45064, -18.15918, -47.10358
22, 1737995751485, -1.43205, 2.48205, 8.38095, -11.08459, -16.68596, -45.63036
23, 1737995751500, -1.452, 2.26005, 8.343, -19.62452, -22.28734, -43.10934
24, 1737995751517, -1.413, 2.24295, 8.484, -24.38293, -25.09197, -41.5022
25, 1737995751534, -1.21005, 2.20905, 8.50095, -29.41709, -33.00166, -42.40819
26, 1737995751550, -1.476, 2.346, 8.973, -33.41132, -34.19126, -44.9292
27, 1737995751566, -1.78395, 2.238, 10.002, -31.23694, -40.48591, -46.47332
