Timestamp, X_Acc, Y_Acc, Z_Acc, X_Gyro, Y_Gyro, Z_Gyro
1, -0.13995, 0.21105, 9.29295, 0.11817, 4.36451, 0.09454
2, -0.08295, 0.24, 9.73095, 0.33088, 3.80516, 0.02363
3, -0.10695, 0.19005, 9.78795, 0.11817, 2.33194, 0.02363
4, -0.11205, 0.156, 9.82695, -0.02363, 1.9144, 0.09454
5, -0.08295, 0.195, 9.80295, 0.04727, 1.21324, 0.02363
6, -0.10005, 0.171, 9.82395, 0.11817, 0.72479, 0.02363
7, -0.09705, 0.20205, 9.807, 0.11817, 0.51208, 0.02363
8, -0.105, 0.21105, 9.82695, -0.02363, 0.22847, -0.04727
9, -0.12405, 0.195, 9.831, 0.04727, 0.37027, -0.04727
10, -0.10695, 0.19695, 9.819, 0.04727, 0.22847, 0.02363
11, -0.09, 0.18495, 9.82905, 0.04727, 0.16544, 0.02363
12, -0.10005, 0.18495, 9.83895, 0.04727, 0.16544, -0.04727
13, -0.10695, 0.18495, 9.822, 0.11817, 0.09454, 0.02363
14, -0.09495, 0.18795, 9.831, -0.02363, 0.09454, -0.04727
15, -0.114, 0.168, 9.834, 0.04727, 0.09454, -0.04727
16, -0.126, 0.19695, 9.82905, 0.04727, 0.02363, 0.02363
17, -0.09, 0.18795, 9.83595, 0.04727, 0.09454, -0.04727
18, -0.07605, 0.18795, 9.82695, -0.02363, 0.08666, 0.02363
19, -0.117, 0.19995, 9.82695, 0.04727, 0.08666, -0.04727
20, -0.11895, 0.18495, 9.822, -0.02363, 0.02363, -0.04727
21, -0.09, 0.195, 9.82905, 0.04727, 0.02363, -0.04727
22, -0.08805, 0.17805, 9.819, -0.02363, 0.08666, -0.04727
23, -0.10005, 0.18495, 9.82695, 0.04727, 0.08666, 0.02363
24, -0.11895, 0.19995, 9.82395, -0.02363, 0.02363, -0.04727
25, -0.11895, 0.195, 9.843, -0.02363, -0.04727, -0.04727
26, -0.102, 0.18795, 9.834, -0.02363, -0.04727, 0.02363
27, -0.11205, 0.18, 9.82905, -0.02363, 0.02363, 0.02363
28, -0.117, 0.18, 9.84105, -0.02363, 0.02363, 0.02363
29, -0.10695, 0.171, 9.831, -0.02363, 0.02363, -0.04727
30, -0.11205, 0.18795, 9.831, -0.02363, 0.02363, 0.02363
31, -0.14295, 0.18495, 9.82695, 0.04727, -0.04727, 0.02363
32, -0.10005, 0.207, 9.82905, -0.02363, 0.02363, 0.02363
33, -0.09705, 0.19695, 9.84105, -0.02363, -0.04727, 0.02363
34, -0.09705, 0.19695, 9.84105, 0.04727, 0.02363, 0.02363
35, -0.114, 0.19005, 9.83895, -0.02363, 0.02363, -0.04727
36, -0.10005, 0.18495, 9.831, -0.02363, 0.02363, 0.02363
37, -0.08295, 0.192, 9.831, 0.04727, 0.02363, -0.04727
38, -0.09495, 0.19695, 9.834, 0.04727, 0.02363, 0.02363
39, -0.10905, 0.195, 9.82905, -0.02363, 0.02363, 0.02363
40, -0.10005, 0.17595, 9.831, -0.02363, 0.02363, 0.02363
41, -0.12105, 0.195, 9.843, 0.04727, -0.04727, 0.02363
42, -0.11895, 0.19995, 9.84105, -0.02363, 0.02363, 0.02363
43, -0.117, 0.19005, 9.819, -0.02363, -0.11817, -0.04727
44, -0.09, 0.15195, 9.846, -0.02363, -0.04727, -0.04727
45, -0.10695, 0.168, 9.82695, -0.02363, 0.02363, 0.02363
46, -0.10695, 0.168, 9.82695, 0.04727, -0.04727, -0.04727
47, -0.12405, 0.204, 9.83895, -0.02363, 0.02363, -0.04727
48, -0.11205, 0.19995, 9.81495, 0.04727, 0.02363, 0.09454
49, -0.08505, 0.204, 9.843, -0.02363, 0.02363, -0.11817
50, -0.105, 0.19005, 9.843, 0.04727, 0.15756, -0.04727
51, -0.12105, 0.183, 9.85095, 0.04727, 0.15756, 0.02363
52, -0.12105, 0.19005, 9.82395, 0.18908, 0.29937, -0.04727
53, -0.10005, 0.207, 9.834, 0.25998, 0.29937, 0.16544
54, -0.10005, 0.195, 9.82695, 0.11817, -0.04727, 0.23635
55, -0.12795, 0.192, 9.82695, 0.11817, 0.02363, 0.29937
56, -0.08295, 0.19005, 9.822, 0.04727, -0.04727, 0.23635
57, -0.07605, 0.192, 9.82395, 0.04727, -0.11817, 0.09454
58, -0.07605, 0.192, 9.82395, 0.04727, -0.04727, 0.02363
59, -0.09705, 0.19695, 9.82905, 0.11817, 0.02363, 0.09454
60, -0.10695, 0.192, 9.831, 0.11817, 0.02363, 0.09454
61, -0.102, 0.19695, 9.82395, 0.11817, -0.04727, 0.02363
62, -0.11895, 0.204, 9.84105, 0.04727, -0.11817, 0.02363
63, -0.08805, 0.19005, 9.83595, 0.04727, -0.04727, 0.02363
64, -0.08505, 0.19005, 9.82695, 0.11817, -0.04727, -0.04727
65, -0.11205, 0.207, 9.83895, 0.04727, -0.04727, 0.02363
66, -0.138, 0.19995, 9.834, 0.04727, 0.02363, 0.02363
67, -0.114, 0.195, 9.82905, 0.04727, 0.02363, -0.04727
68, -0.10695, 0.195, 9.822, -0.02363, -0.04727, 0.02363
69, -0.093, 0.20895, 9.831, -0.02363, -0.04727, 0.02363
70, -0.10905, 0.195, 9.83595, 0.04727, -0.04727, 0.02363
71, -0.10695, 0.20895, 9.81705, 0.04727, -0.04727, 0.02363
72, -0.093, 0.19005, 9.858, 0.04727, 0.09454, 0.02363
73, -0.093, 0.19005, 9.858, 0.11817, 0.02363, -0.04727
74, -0.13305, 0.21105, 9.822, -0.02363, 0.02363, 0.02363
75, -0.11895, 0.219, 9.81, -0.02363, 0.02363, -0.04727
76, -0.10695, 0.19005, 9.82395, -0.02363, 0.02363, 0.02363
77, -0.114, 0.17295, 9.82905, -0.02363, 0.02363, 0.02363
78, -0.11205, 0.207, 9.834, 0.04727, 0.02363, 0.02363
79, -0.11205, 0.207, 9.834, -0.02363, 0.02363, 0.02363
80, -0.12105, 0.19695, 9.83595, -0.02363, 0.02363, 0.02363
81, -0.10905, 0.20895, 9.834, 0.04727, 0.02363, 0.02363
82, -0.114, 0.195, 9.81195, -0.02363, 0.02363, 0.02363
83, -0.114, 0.18795, 9.822, 0.04727, 0.02363, -0.04727
84, -0.102, 0.18495, 9.82695, -0.02363, 0.02363, -0.04727
85, -0.10695, 0.19995, 9.84105, -0.02363, 0.02363, 0.02363
86, -0.10695, 0.19995, 9.84105, -0.02363, 0.02363, 0.02363
87, -0.114, 0.19995, 9.819, 0.04727, 0.02363, 0.02363
88, -0.10005, 0.18795, 9.82905, -0.02363, 0.02363, 0.02363
89, -0.12795, 0.19695, 9.82695, 0.04727, -0.04727, 0.02363
90, -0.10905, 0.19995, 9.843, -0.02363, -0.04727, -0.04727
91, -0.102, 0.19695, 9.82395, 0.04727, 0.02363, 0.02363
92, -0.09705, 0.207, 9.84105, 0.04727, 0.02363, -0.04727
93, -0.10695, 0.18, 9.82395, 0.04727, 0.02363, -0.04727
94, -0.10695, 0.18, 9.82395, -0.02363, 0.02363, 0.02363
95, -0.11205, 0.20205, 9.83895, -0.02363, 0.02363, -0.04727
96, -0.117, 0.19995, 9.834, -0.02363, 0.02363, -0.04727
97, -0.10005, 0.19995, 9.84795, 0.04727, 0.02363, 0.02363
98, -0.078, 0.195, 9.822, -0.02363, 0.02363, -0.04727
99, -0.12795, 0.183, 9.822, 0.04727, 0.02363, -0.04727
100, -0.11895, 0.19005, 9.84105, 0.04727, 0.09454, -0.04727
101, -0.11895, 0.204, 9.81495, 0.04727, -0.04727, -0.04727
102, -0.11205, 0.19695, 9.82695, -0.02363, 0.02363, 0.02363
103, -0.114, 0.192, 9.82695, -0.02363, 0.02363, -0.04727
104, -0.12105, 0.195, 9.831, -0.02363, 0.02363, 0.02363
105, -0.105, 0.18795, 9.82695, -0.02363, -0.04727, 0.02363
106, -0.11895, 0.19995, 9.82905, -0.02363, 0.02363, 0.02363
107, -0.105, 0.19005, 9.834, -0.09454, 0.02363, 0.02363
108, -0.10005, 0.195, 9.82695, -0.02363, 0.02363, 0.02363
109, -0.10005, 0.19005, 9.82905, -0.02363, 0.02363, 0.02363
110, -0.09495, 0.19995, 9.822, 0.04727, 0.09454, 0.02363
111, -0.09495, 0.19005, 9.81705, -0.02363, -0.04727, -0.04727
112, -0.12795, 0.195, 9.83595, -0.02363, -0.04727, 0.02363
113, -0.09495, 0.21405, 9.822, -0.02363, 0.02363, 0.02363
114, -0.093, 0.195, 9.834, -0.02363, 0.02363, 0.02363
115, -0.12105, 0.192, 9.831, 0.04727, 0.02363, 0.02363
116, -0.10905, 0.19005, 9.83895, -0.02363, -0.04727, -0.04727
117, -0.093, 0.18495, 9.81705, 0.04727, 0.02363, 0.02363
118, -0.10905, 0.20895, 9.831, 0.04727, 0.02363, 0.02363
119, -0.09705, 0.19995, 9.82905, -0.02363, 0.02363, 0.02363
120, -0.10905, 0.18795, 9.82905, 0.04727, 0.02363, 0.02363
121, -0.10695, 0.21405, 9.83895, -0.02363, 0.02363, 0.02363
122, -0.126, 0.21105, 9.831, -0.02363, -0.04727, 0.09454
123, -0.09495, 0.192, 9.82695, -0.02363, 0.02363, 0.02363
124, -0.105, 0.19005, 9.84105, 0.04727, 0.02363, -0.04727
125, -0.10695, 0.19695, 9.82905, -0.02363, -0.04727, 0.02363
126, -0.105, 0.18795, 9.834, -0.02363, -0.04727, 0.02363
127, -0.09705, 0.204, 9.82395, -0.02363, 0.02363, -0.04727
128, -0.11895, 0.204, 9.82905, -0.02363, -0.04727, 0.02363
129, -0.105, 0.19695, 9.83895, -0.02363, -0.04727, 0.02363
130, -0.102, 0.19005, 9.858, 0.04727, -0.04727, 0.02363
131, -0.114, 0.21105, 9.819, -0.02363, -0.04727, -0.04727
132, -0.11205, 0.204, 9.83595, 0.04727, 0.02363, 0.02363
133, -0.10005, 0.195, 9.834, 0.04727, 0.02363, 0.02363
134, -0.11205, 0.19995, 9.834, -0.02363, -0.04727, 0.09454
135, -0.114, 0.19005, 9.831, -0.02363, 0.02363, 0.02363
136, -0.114, 0.204, 9.831, 0.04727, -0.04727, 0.02363
137, -0.105, 0.18795, 9.834, -0.02363, 0.02363, 0.02363
138, -0.09705, 0.216, 9.834, -0.02363, 0.02363, 0.02363
139, -0.081, 0.207, 9.831, 0.04727, 0.02363, -0.04727
140, -0.102, 0.20205, 9.834, -0.02363, 0.02363, 0.02363
141, -0.126, 0.207, 9.82695, 0.04727, 0.02363, 0.02363
142, -0.09705, 0.204, 9.83595, -0.02363, 0.02363, 0.02363
143, -0.105, 0.195, 9.82695, -0.02363, 0.02363, 0.02363
144, -0.105, 0.183, 9.82395, 0.04727, 0.02363, 0.02363
145, -0.11895, 0.195, 9.807, 0.04727, 0.02363, -0.04727
146, -0.117, 0.21105, 9.831, 0.04727, 0.02363, -0.04727
147, -0.114, 0.18795, 9.83595, 0.04727, 0.02363, -0.04727
148, -0.08805, 0.19005, 9.834, -0.02363, 0.02363, -0.04727
149, -0.09705, 0.204, 9.84105, -0.02363, 0.02363, -0.04727
150, -0.093, 0.19005, 9.84795, -0.02363, 0.02363, 0.02363
151, -0.105, 0.192, 9.819, 0.04727, 0.02363, 0.02363
152, -0.114, 0.192, 9.834, -0.02363, -0.04727, 0.02363
153, -0.10005, 0.20205, 9.834, -0.02363, -0.04727, 0.02363
154, -0.114, 0.18795, 9.82695, 0.04727, 0.02363, 0.02363
155, -0.11895, 0.19995, 9.822, 0.04727, -0.04727, 0.02363
156, -0.09495, 0.19695, 9.822, 0.04727, -0.04727, 0.02363
157, -0.114, 0.219, 9.822, -0.02363, -0.04727, 0.02363
158, -0.105, 0.195, 9.834, -0.09454, 0.02363, -0.04727
159, -0.10905, 0.207, 9.82905, -0.02363, -0.04727, -0.04727
160, -0.11895, 0.19995, 9.83895, 0.04727, -0.04727, 0.09454
161, -0.10905, 0.18795, 9.831, -0.02363, 0.02363, -0.04727
162, -0.10005, 0.192, 9.81705, -0.02363, 0.02363, 0.02363
163, -0.12105, 0.183, 9.82905, -0.02363, 0.02363, 0.09454
164, -0.117, 0.195, 9.82695, 0.04727, 0.02363, 0.02363
165, -0.105, 0.19995, 9.834, 0.04727, 0.02363, -0.04727
166, -0.09705, 0.21105, 9.834, 0.04727, 0.02363, -0.04727
167, -0.09705, 0.192, 9.83595, 0.04727, 0.09454, 0.09454
168, -0.13095, 0.19995, 9.84105, -0.02363, -0.04727, 0.02363
169, -0.10005, 0.20205, 9.82695, -0.09454, 0.02363, 0.02363
170, -0.11895, 0.17595, 9.834, -0.02363, 0.02363, 0.02363
171, -0.11895, 0.17595, 9.834, -0.02363, 0.02363, 0.02363
172, -0.117, 0.20205, 9.82395, 0.04727, 0.02363, -0.04727
173, -0.105, 0.19695, 9.82695, -0.02363, -0.04727, -0.04727
174, -0.10695, 0.204, 9.834, 0.04727, 0.02363, 0.02363
175, -0.10695, 0.207, 9.831, 0.04727, -0.04727, 0.02363
176, -0.093, 0.20895, 9.834, 0.04727, 0.02363, 0.02363
177, -0.126, 0.21405, 9.82905, 0.04727, -0.04727, 0.02363
178, -0.117, 0.192, 9.82695, 0.04727, 0.02363, 0.02363
179, -0.114, 0.192, 9.822, 0.04727, 0.02363, -0.04727
180, -0.11895, 0.19005, 9.834, 0.04727, 0.02363, -0.04727
181, -0.102, 0.19995, 9.82905, -0.02363, 0.02363, 0.02363
182, -0.10695, 0.19995, 9.83595, -0.09454, 0.02363, 0.02363
183, -0.12105, 0.19005, 9.819, -0.02363, -0.04727, 0.02363
184, -0.12105, 0.19005, 9.819, -0.02363, 0.02363, 0.02363
185, -0.105, 0.207, 9.81495, -0.02363, -0.04727, 0.02363
186, -0.117, 0.19695, 9.819, 0.04727, 0.02363, 0.02363
187, -0.102, 0.195, 9.822, -0.02363, -0.04727, 0.02363
188, -0.10005, 0.17805, 9.831, -0.02363, 0.02363, -0.04727
189, -0.10005, 0.207, 9.82695, 0.04727, 0.02363, -0.04727
190, -0.11895, 0.19695, 9.831, 0.04727, -0.04727, 0.02363
191, -0.11895, 0.19695, 9.831, -0.02363, 0.02363, 0.09454
192, -0.10005, 0.19995, 9.82905, -0.02363, -0.04727, 0.02363
193, -0.12405, 0.192, 9.831, -0.09454, -0.04727, -0.04727
194, -0.12105, 0.19005, 9.84105, 0.04727, 0.02363, 0.02363
195, -0.10695, 0.20205, 9.834, 0.04727, 0.02363, -0.04727
196, -0.12105, 0.207, 9.84105, -0.02363, 0.02363, 0.02363
197, -0.12105, 0.18, 9.822, -0.02363, 0.02363, 0.02363
198, -0.12105, 0.18, 9.822, -0.02363, -0.04727, 0.02363
199, -0.12795, 0.204, 9.819, 0.04727, 0.02363, 0.02363
200, -0.10005, 0.18795, 9.83595, -0.02363, 0.02363, -0.04727
201, -0.10005, 0.19005, 9.834, -0.02363, 0.02363, -0.04727
202, -0.10905, 0.19695, 9.822, -0.02363, -0.04727, 0.02363
203, -0.11895, 0.19995, 9.819, 0.04727, 0.02363, 0.02363
204, -0.093, 0.19695, 9.82695, 0.04727, 0.02363, 0.02363
205, -0.10695, 0.183, 9.82905, -0.02363, 0.02363, -0.04727
206, -0.10695, 0.183, 9.82905, -0.02363, -0.04727, -0.04727
207, -0.11205, 0.19695, 9.82695, 0.04727, 0.02363, -0.11817
208, -0.10905, 0.19995, 9.82905, -0.02363, 0.02363, -0.04727
209, -0.09495, 0.19005, 9.83595, -0.02363, 0.02363, -0.04727
210, -0.114, 0.195, 9.834, -0.02363, 0.02363, -0.04727
211, -0.12105, 0.17595, 9.834, -0.09454, 0.02363, -0.04727
212, -0.11205, 0.204, 9.819, -0.02363, 0.02363, -0.04727
213, -0.11205, 0.204, 9.819, -0.02363, 0.02363, -0.04727
214, -0.102, 0.195, 9.84105, -0.02363, 0.02363, 0.02363
215, -0.10695, 0.195, 9.82905, -0.02363, -0.04727, 0.02363
216, -0.12405, 0.18495, 9.82395, -0.02363, 0.02363, 0.02363
217, -0.10695, 0.207, 9.81495, -0.02363, 0.02363, -0.04727
218, -0.117, 0.19995, 9.834, -0.02363, -0.04727, 0.02363
219, -0.102, 0.195, 9.82395, 0.04727, 0.02363, -0.04727
220, -0.093, 0.204, 9.82905, -0.09454, 0.02363, -0.04727
221, -0.117, 0.19995, 9.83595, 0.04727, 0.02363, 0.02363
222, -0.11205, 0.207, 9.822, 0.04727, -0.04727, 0.02363
223, -0.114, 0.183, 9.82395, -0.02363, 0.02363, -0.04727
224, -0.10005, 0.19005, 9.831, -0.09454, 0.02363, 0.02363
225, -0.102, 0.192, 9.822, -0.02363, 0.02363, -0.04727
226, -0.10905, 0.20205, 9.82905, -0.02363, 0.02363, -0.04727
